Country/Territory,Coverage (age/grade),Drug Group,Lifetime,Notes,Past Month,Past Year,Region,Source,Subregion,Year of Estimate
Trinidad and Tobago,SS,Amphetamines,3.91,Prescription stimulants,1,1.38,AMERICAS,CICAD/ OAS,Caribbean,2013
Panama,18-25,Amphetamines,0.53, ,0.14,0.32,AMERICAS,ARQ,Central America (excluding Mexico),2013
Panama,18-25,Amphetamines,0.35,Amphetamine,0,0.11,AMERICAS,ARQ,Central America (excluding Mexico),2013
Panama,18-25,Amphetamines,0.7,Methamphetamine,0.1,0.2,AMERICAS,ARQ,Central America (excluding Mexico),2013
Belize,SS,Amphetamines,3.25,Prescription stimulants,1.03,1.6,AMERICAS,CICAD/ OAS,Central America (excluding Mexico),2013
United States of America,Grade 10,Amphetamines,8.1, ,2.8,5.9,AMERICAS,ARQ,Northern America (including Mexico),2013
United States of America,Grade 10,Amphetamines,1.6,Methamphetamine,0.4,1,AMERICAS,ARQ,Northern America (including Mexico),2013
Bolivia (Plurinational State of),12 - 17,Amphetamines,0.31,Prescription stimulants,0.05,0.05,AMERICAS,,South America,2013
Chile,(SS) 15 - 16,Amphetamines,6.61, ,1.61,3.68,AMERICAS,ARQ,South America,2013
Chile,(SS) 15 - 16,Amphetamines,4.27,Prescription stimulants,0.88,2.01,AMERICAS,ARQ,South America,2013
Guyana,SS,Amphetamines,2.87,Prescription stimulants,0.86,1.15,AMERICAS,CICAD/ OAS,South America,2013
Haiti,SS,Amphetamines,7.65,Prescription stimulants,1.55,3.36,AMERICAS,CICAD/ OAS,Caribbean,2014
Guatemala,11 - 22,Amphetamines,3.74, ,0.97,1.35,AMERICAS,ARQ,Central America (excluding Mexico),2014
Honduras,15 - 16,Amphetamines,8.4,Prescription stimulants,1.2,2,AMERICAS,ARQ,Central America (excluding Mexico),2014
Mexico,15 - 16,Amphetamines,2.5,Amphetamine,0.9,1.8,AMERICAS,ARQ,Northern America (including Mexico),2014
Mexico,15 - 16,Amphetamines,2,Methamphetamine,0.7,1.3,AMERICAS,ARQ,Northern America (including Mexico),2014
United States of America,Grade 10,Amphetamines,1.4,Methamphetamine,0.3,0.8,AMERICAS,ARQ,Northern America (including Mexico),2014
United States of America,SS,Amphetamines,3.5,Prescription stimulants,0.8,2.2,AMERICAS,CICAD/ OAS,Northern America (including Mexico),2014
Argentina,15 - 16,Amphetamines,0.9,Amphetamine,,,AMERICAS,ARQ,South America,2014
Argentina,15 - 16,Amphetamines,2.8,Prescription stimulants,1,1.5,AMERICAS,ARQ,South America,2014
Paraguay,12+,Amphetamines,2.3,Prescription stimulants. Cities with at least 30000,0.8,1.4,AMERICAS,ARQ,South America,2014
Uruguay,13 - 17,Amphetamines,1.9, ,0.3,1.4,AMERICAS,ARQ,South America,2014
Uruguay,13 - 17,Amphetamines,0.2,Amphetamine,0.1,0.2,AMERICAS,ARQ,South America,2014
Uruguay,13 - 17,Amphetamines,1.1,Prescription stimulants,,0.6,AMERICAS,ARQ,South America,2014
Uruguay,13 - 17,Amphetamines,0.3,methamphetamine,0.1,0.3,AMERICAS,ARQ,South America,2014
Venezuela (Bolivarian Republic of),University,Amphetamines,0.11,Amphetamine,,,AMERICAS,ARQ,South America,2014
Venezuela (Bolivarian Republic of),University,Amphetamines,0.07,Methamphetamine,,,AMERICAS,ARQ,South America,2014
Costa Rica,15 - 16,Amphetamines,1.848, ,,1.76,AMERICAS,ARQ,Central America (excluding Mexico),2015
Costa Rica,15 - 16,Amphetamines,0.18,Prescription stimulants,,0.09,AMERICAS,ARQ,Central America (excluding Mexico),2015
Honduras,14-17,Amphetamines,6.8, ,1.1,3.4,AMERICAS,ARQ,Central America (excluding Mexico),2015
United States of America,(SS) 15 - 16,Amphetamines,9.7,Amphetamine. Monitoring the future,3.1,6.8,AMERICAS,ARQ,Northern America (including Mexico),2015
United States of America,(SS) 15 - 16,Amphetamines,1.3,Methamphetamine. Monitoring the future,0.3,0.8,AMERICAS,ARQ,Northern America (including Mexico),2015
Chile,(SS) 15 - 16,Amphetamines,7.62, ,1.65,3.88,AMERICAS,ARQ,South America,2015
Chile,(SS) 15 - 16,Amphetamines,4.8,Prescription stimulants,0.7,1.9,AMERICAS,ARQ,South America,2015
El Salvador,13 - 17,Amphetamines,2.7, ,0.6,0.9,AMERICAS,ARQ,Central America (excluding Mexico),2016
El Salvador,13 - 17,Amphetamines,2.7,Prescription stimulants,0.6,0.9,AMERICAS,ARQ,Central America (excluding Mexico),2016
Mexico,12 - 17,Amphetamines,0.6, ,0.1,0.2,AMERICAS,ARQ,Northern America (including Mexico),2016
Mexico,12 - 17,Amphetamines,0.1,Amphetamine,0,0.1,AMERICAS,ARQ,Northern America (including Mexico),2016
Mexico,12 - 17,Amphetamines,0.66,Methamphetamine,,,AMERICAS,ARQ,Northern America (including Mexico),2016
United States of America,(SS) Grade 10,Amphetamines,8.8,Amphetamine,2.7,6.1,AMERICAS,ARQ,Northern America (including Mexico),2016
United States of America,(SS) Grade 10,Amphetamines,0.7,Methamphetamine,0.2,0.4,AMERICAS,ARQ,Northern America (including Mexico),2016
Colombia,18 - 24,Amphetamines,1.06,Amphetamine,0.06,0.27,AMERICAS,Government,South America,2016
Colombia,18 - 24,Amphetamines,0.53,Methamphetamine,0.03,0.13,AMERICAS,Government,South America,2016
Colombia,18 - 24,Amphetamines,0.96,Prescription stimulants,0.17,0.37,AMERICAS,Government,South America,2016
Turks and Caicos Islands,11 - 20,Ecstasy,2.2, ,,1.6,AMERICAS,ARQ,Caribbean,2002
Belize,"(SS) ages 13, 15, & 17",Ecstasy,1.2, ,0.3,0.7,AMERICAS,OAS (MEM),Central America (excluding Mexico),2002
Guyana,12 - 18,Ecstasy,0.9, ,0.3,0.5,AMERICAS,ARQ,South America,2002
Guatemala,12 - 19,Ecstasy,0.32, ,,0.15,AMERICAS,ARQ,Central America (excluding Mexico),2004
Nicaragua,12 - 18,Ecstasy,0.5, ,,,AMERICAS,ARQ,Central America (excluding Mexico),2004
Colombia,12 - 17,Ecstasy,3.3, ,,2.8,AMERICAS,ARQ,South America,2004
Haiti,15 - 16,Ecstasy,3, ,,2,AMERICAS,ARQ,Caribbean,2005
Grenada,15 - 16,Ecstasy,1, ,0.2,0.5,AMERICAS,Govt.,Caribbean,2005
Puerto Rico,(SS) Grades 9 - 12,Ecstasy,2.2,Youth Risk Behavior Survey,,,AMERICAS,Govt.,Caribbean,2005
Antigua and Barbuda,Secondary/ High School,Ecstasy,1.2, ,,,AMERICAS,OAS (MEM),Caribbean,2005
Honduras,12 - 17,Ecstasy,0.24, ,0.05,0.08,AMERICAS,OAS (MEM),Central America (excluding Mexico),2005
Colombia,15 - 16,Ecstasy,4.32, ,1.04,3.68,AMERICAS,CICAD/ OAS,South America,2005
Paraguay,15 - 16,Ecstasy,0.5, ,0.32,0.41,AMERICAS,CICAD/ OAS,South America,2005
Saint Kitts and Nevis,15 - 16,Ecstasy,2.06, ,0.52,0.91,AMERICAS,Govt.,Caribbean,2006
Jamaica,Ages 11 - 19,Ecstasy,3, ,,,AMERICAS,OAS,Caribbean,2006
Barbados,"(SS) ages 13, 15, & 17",Ecstasy,1.8, ,0.4,0.6,AMERICAS,OAS (MEM),Caribbean,2006
Dominica,"(SS) ages 13, 15, & 17",Ecstasy,0.6, ,,,AMERICAS,OAS (MEM),Caribbean,2006
Saint Vincent and the Grenadines,"(SS) ages 13, 15, & 17",Ecstasy,0.54, ,0,0.11,AMERICAS,OAS (MEM),Caribbean,2006
Trinidad and Tobago,"(SS) ages 13, 15, & 17",Ecstasy,0.87, ,,,AMERICAS,OAS (MEM),Caribbean,2006
Peru,15 - 16,Ecstasy,0.285, ,,,AMERICAS,ARQ,South America,2006
Suriname,SS,Ecstasy,1.45, ,,,AMERICAS,CICAD/ OAS,South America,2006
Suriname,Secondary/ High School,Ecstasy,1.2, ,0.2,0.2,AMERICAS,OAS (MEM),South America,2006
Argentina,13 - 17,Ecstasy,2, ,,,AMERICAS,ARQ,South America,2007
Peru,11 - 17,Ecstasy,1.2, ,,0.6,AMERICAS,ARQ,South America,2007
Dominican Republic,12 - 18,Ecstasy,0.5, ,,,AMERICAS,ARQ,Caribbean,2008
Bahamas,15-16,Ecstasy,0.9, ,,0.4,AMERICAS,Govt.,Caribbean,2008
El Salvador,13 - 17,Ecstasy,0.8, ,,,AMERICAS,ARQ,Central America (excluding Mexico),2008
Panama,SS,Ecstasy,1.4, ,0.9,1,AMERICAS,CICAD/ OAS,Central America (excluding Mexico),2008
Bolivia (Plurinational State of),13 - 18,Ecstasy,1.6, ,,,AMERICAS,ARQ,South America,2008
Ecuador,12 - 17,Ecstasy,1.3, ,,0.7,AMERICAS,ARQ,South America,2008
Costa Rica,14 - 17,Ecstasy,2.1, ,,,AMERICAS,ARQ,Central America (excluding Mexico),2009
Chile,(SS) 15 - 16,Ecstasy,3.7, ,0.82,1.6,AMERICAS,ARQ,South America,2009
Ecuador,University,Ecstasy,1.18, ,0.1,0.23,AMERICAS,ARQ,South America,2009
Uruguay,13 - 17,Ecstasy,1.2, ,,,AMERICAS,ARQ,South America,2009
Venezuela (Bolivarian Republic of),(SS) 12 - 18,Ecstasy,0.529248300, ,0.206741447,0.266789585,AMERICAS,ARQ,South America,2009
Canada,15 - 19,Ecstasy,6.6, ,,3.5,AMERICAS,ARQ,Northern America (including Mexico),2010
United States of America,Grade 10,Ecstasy,6.4, ,1.9,4.7,AMERICAS,Govt.,Northern America (including Mexico),2010
Brazil,10 - 19,Ecstasy,1.3, ,,,AMERICAS,ARQ,South America,2010
Peru,15-16,Ecstasy,0.114410576, ,,0.114410576,AMERICAS,ARQ,South America,2010
Brazil,University,Ecstasy,7.5, ,1.9,3.1,AMERICAS,CICAD/ OAS,South America,2010
Bahamas,SS,Ecstasy,1.06, ,,,AMERICAS,CICAD/ OAS,Caribbean,2011
Dominica,SS,Ecstasy,2.57, ,,,AMERICAS,CICAD/ OAS,Caribbean,2011
United States of America,Grade 10,Ecstasy,6.6, ,1.6,4.5,AMERICAS,ARQ,Northern America (including Mexico),2011
Argentina,15 - 16,Ecstasy,2.3, ,0.7,1.4,AMERICAS,ARQ,South America,2011
Chile,(SS) 15 - 16,Ecstasy,2.09, ,0.3,1.18,AMERICAS,ARQ,South America,2011
Colombia,11-18,Ecstasy,1.22, ,0.38,0.79,AMERICAS,ARQ,South America,2011
Uruguay,13 - 17,Ecstasy,0.5, ,0.2,0.3,AMERICAS,ARQ,South America,2011
Costa Rica,15-16,Ecstasy,0.67, ,0.32,0.52,AMERICAS,ARQ,Central America (excluding Mexico),2012
El Salvador,17 - 25,Ecstasy,0.2, ,0,0,AMERICAS,"Estudio Nacional sobre Consumo de Drogas en Población Estudiantil Universitaria de El Salvador, 2012",Central America (excluding Mexico),2012
United States of America,Grade 10,Ecstasy,5, ,1,3,AMERICAS,ARQ,Northern America (including Mexico),2012
Bolivia (Plurinational State of),18 - 24,Ecstasy,0.57, ,0.01,0.01,AMERICAS,ARQ,South America,2012
Colombia,University,Ecstasy,3.15, ,0.21,0.75,AMERICAS,ARQ,South America,2012
Ecuador,12 - 17,Ecstasy,1.1, ,0.2,0.5,AMERICAS,ARQ,South America,2012
Peru,14 - 16,Ecstasy,1.68, ,0.71,1.09,AMERICAS,ARQ,South America,2012
Ecuador,University,Ecstasy,1.42, ,0.06,0.27,AMERICAS,CICAD/ OAS,South America,2012
Peru,University,Ecstasy,1.09, ,0.08,0.28,AMERICAS,CICAD/ OAS,South America,2012
Peru,11-20,Ecstasy,1.6, ,0.7,1,AMERICAS,DEVIDA,South America,2012
Antigua and Barbuda,SS,Ecstasy,3.73, ,,,AMERICAS,CICAD/ OAS,Caribbean,2013
Barbados,SS,Ecstasy,2.4, ,,,AMERICAS,CICAD/ OAS,Caribbean,2013
Grenada,SS,Ecstasy,1.88, ,,,AMERICAS,CICAD/ OAS,Caribbean,2013
Jamaica,SS,Ecstasy,1.62, ,,,AMERICAS,CICAD/ OAS,Caribbean,2013
Saint Kitts and Nevis,SS,Ecstasy,1.45, ,,,AMERICAS,CICAD/ OAS,Caribbean,2013
Saint Lucia,SS,Ecstasy,1.78, ,,,AMERICAS,CICAD/ OAS,Caribbean,2013
Saint Vincent and the Grenadines,SS,Ecstasy,0.39, ,,,AMERICAS,CICAD/ OAS,Caribbean,2013
Trinidad and Tobago,SS,Ecstasy,1.55, ,,,AMERICAS,CICAD/ OAS,Caribbean,2013
Panama,18-25,Ecstasy,0.71, ,0.04,0.18,AMERICAS,ARQ,Central America (excluding Mexico),2013
Belize,SS,Ecstasy,2.42, ,,,AMERICAS,CICAD/ OAS,Central America (excluding Mexico),2013
United States of America,Grade 10,Ecstasy,5.7, ,1.2,3.6,AMERICAS,ARQ,Northern America (including Mexico),2013
Bolivia (Plurinational State of),12 - 17,Ecstasy,0.02, ,,0.02,AMERICAS,ARQ,South America,2013
Chile,(SS) 15 - 16,Ecstasy,3.82, ,0.95,2.21,AMERICAS,ARQ,South America,2013
Guyana,SS,Ecstasy,1.69, ,,,AMERICAS,CICAD/ OAS,South America,2013
Haiti,SS,Ecstasy,0.88, ,,,AMERICAS,CICAD/ OAS,Caribbean,2014
United States of America,15 - 16,Ecstasy,3.7, ,0.8,2.3,AMERICAS,ARQ,Northern America (including Mexico),2014
Argentina,15 - 16,Ecstasy,2.4, ,1,1.6,AMERICAS,ARQ,South America,2014
Paraguay,12+,Ecstasy,1,Cities with more than 30000,0.4,0.7,AMERICAS,ARQ,South America,2014
Uruguay,13 - 17,Ecstasy,1, ,0.2,0.8,AMERICAS,ARQ,South America,2014
Venezuela (Bolivarian Republic of),University,Ecstasy,0.45, ,0.08,0.24,AMERICAS,ARQ,South America,2014
Costa Rica,15 - 16,Ecstasy,1.66, ,,1.66,AMERICAS,ARQ,Central America (excluding Mexico),2015
United States of America,(SS) 15 - 16,Ecstasy,3.8,Monitoring the future,0.9,2.4,AMERICAS,ARQ,Northern America (including Mexico),2015
Chile,(SS) 15 - 16,Ecstasy,4.73, ,1.11,2.57,AMERICAS,ARQ,South America,2015
El Salvador,13 - 17,Ecstasy,1.6, ,0.1,0.3,AMERICAS,ARQ,Caribbean,2016
Mexico,12 - 17,Ecstasy,0.01, ,,,AMERICAS,ARQ,Northern America (including Mexico),2016
United States of America,(SS) Grade 10,Ecstasy,2.8, ,0.5,1.8,AMERICAS,ARQ,Northern America (including Mexico),2016
Bolivia (Plurinational State of),18 - 24,Ecstasy,0.54, ,0.13,0.24,AMERICAS,OAS,South America,2016
Colombia,18 - 24,Ecstasy,4.77, ,0.52,2,AMERICAS,OAS,South America,2016
Ecuador,18 - 24,Ecstasy,1.62, ,0.07,0.43,AMERICAS,OAS,South America,2016
Peru,18 - 24,Ecstasy,0.51, ,0.03,0.06,AMERICAS,OAS,South America,2016
Colombia,12 - 17,Tranquillizers and Sedatives,9.9,Benzodiazepines,,6.3,AMERICAS,,South America,2004
Honduras,SS,Tranquillizers and Sedatives,12.39, ,2.82,4.91,AMERICAS,CICAD/OAS,Central America (excluding Mexico),2005
Paraguay,SS,Tranquillizers and Sedatives,12.3, ,4.7,7.4,AMERICAS,CICAD/OAS,South America,2005
Peru,15 - 16,Tranquillizers and Sedatives,2.171, ,0.161,1.291,AMERICAS,,South America,2006
Suriname,SS,Tranquillizers and Sedatives,10.91, ,3.78,6.35,AMERICAS,CICAD/OAS,South America,2006
Dominican Republic,SS,Tranquillizers and Sedatives,12.81, ,3.22,6.19,AMERICAS,CICAD/OAS,Caribbean,2008
Panama,SS,Tranquillizers and Sedatives,7.4, ,1,1.6,AMERICAS,CICAD/OAS,Central America (excluding Mexico),2008
El Salvador,13 - 17,Tranquillizers and Sedatives,2.8, ,1.3,1.8,AMERICAS,"Segundo Estudio Nacional sobre Consumo de Sustancias Psicoactivas en Población Escolar de El Salvador, 2008.",Central America (excluding Mexico),2008
Bolivia (Plurinational State of),13 - 18,Tranquillizers and Sedatives,14.3,Tranquillizers,3.6,6.9,AMERICAS,Govt.,South America,2008
Costa Rica,14 - 17,Tranquillizers and Sedatives,8,Benzodiazepines,2.6,4.6,AMERICAS,,Central America (excluding Mexico),2009
United States of America,Grade 10,Tranquillizers and Sedatives,7, ,2,5,AMERICAS,,Northern America (including Mexico),2009
United States of America,Grade 10,Tranquillizers and Sedatives,0.7,Benzodiazepines,0.3,0.4,AMERICAS,,Northern America (including Mexico),2009
Argentina,15 - 16,Tranquillizers and Sedatives,4.4, ,1.4,2.7,AMERICAS,,South America,2009
Chile,15 - 16,Tranquillizers and Sedatives,10.54832, ,2.93727,5.27,AMERICAS,,South America,2009
Uruguay,13 - 17,Tranquillizers and Sedatives,6.1, ,1.3,3.4,AMERICAS,,South America,2009
Venezuela (Bolivarian Republic of),12 - 18,Tranquillizers and Sedatives,3.9, ,1.1,2,AMERICAS,,South America,2009
Ecuador,University,Tranquillizers and Sedatives,4.41, ,0.37,1.46,AMERICAS,ARQ,South America,2009
Jamaica,15 - 16,Tranquillizers and Sedatives,3.2,Benzodiazepines,,,AMERICAS,,Caribbean,2010
Brazil,10 - 19,Tranquillizers and Sedatives,5.3,Benzodiazepines,1.3,2.6,AMERICAS,,South America,2010
Peru,15-16,Tranquillizers and Sedatives,0.717, ,0.0605,0.251,AMERICAS,ARQ,South America,2010
Bahamas,SS,Tranquillizers and Sedatives,3.99, ,1.1,1.98,AMERICAS,CICAD/OAS,Caribbean,2011
Dominica,SS,Tranquillizers and Sedatives,11.44, ,1.98,2.84,AMERICAS,CICAD/OAS,Caribbean,2011
United States of America,Grade 10,Tranquillizers and Sedatives,1.2,Benzodiazepines,0.3,0.6,AMERICAS,,Northern America (including Mexico),2011
Mexico, 12 - 17,Tranquillizers and Sedatives,0.4,Benzodiazepines,,0.1,AMERICAS,ARQ,Northern America (including Mexico),2011
Mexico,15 - 16,Tranquillizers and Sedatives,0.1,Barbiturates,,,AMERICAS,ARQ,Northern America (including Mexico),2011
United States of America,Grade 10,Tranquillizers and Sedatives,6.8, ,2.2,4.5,AMERICAS,ARQ,Northern America (including Mexico),2011
Argentina,15 - 16,Tranquillizers and Sedatives,5.2, ,0.7,2.7,AMERICAS,ARQ,South America,2011
Argentina,16 - 24,Tranquillizers and Sedatives,2.5, ,,,AMERICAS,ARQ,South America,2011
Chile,15 - 16,Tranquillizers and Sedatives,16.2, ,2.92,7.62,AMERICAS,ARQ,South America,2011
Colombia,11-18,Tranquillizers and Sedatives,1.09, ,0.37,0.78,AMERICAS,ARQ,South America,2011
Uruguay,13 - 17,Tranquillizers and Sedatives,7.6, ,,3.8,AMERICAS,ARQ,South America,2011
Venezuela (Bolivarian Republic of),15-17,Tranquillizers and Sedatives,4.21, ,,,AMERICAS,ARQ,South America,2011
Costa Rica,15 - 16,Tranquillizers and Sedatives,4.8, ,1.3,2.4,AMERICAS,,Central America (excluding Mexico),2012
Costa Rica,15-16,Tranquillizers and Sedatives,5.64, ,1.64,3.19,AMERICAS,ARQ,Central America (excluding Mexico),2012
El Salvador,17 - 25,Tranquillizers and Sedatives,7.5, ,0.4,2.1,AMERICAS,"Estudio Nacional sobre Consumo de Drogas en Población Estudiantil Universitaria de El Salvador, 2012",Central America (excluding Mexico),2012
El Salvador,17 - 25,Tranquillizers and Sedatives,7.5,Benzodiazepines,0.4,2.1,AMERICAS,"Estudio Nacional sobre Consumo de Drogas en Población Estudiantil Universitaria de El Salvador, 2012",Central America (excluding Mexico),2012
United States of America,Grade 10,Tranquillizers and Sedatives,6.3, ,1.7,4.3,AMERICAS,ARQ,Northern America (including Mexico),2012
Colombia,University,Tranquillizers and Sedatives,3.34, ,0.64,1.43,AMERICAS,ARQ,South America,2012
Ecuador,12 - 17,Tranquillizers and Sedatives,5.4, ,1.4,2.9,AMERICAS,ARQ,South America,2012
Peru,14 - 16,Tranquillizers and Sedatives,4.64, ,1.45,2.55,AMERICAS,ARQ,South America,2012
Peru,11-20,Tranquillizers and Sedatives,4, ,1.3,2.3,AMERICAS,DEVIDA,South America,2012
Antigua and Barbuda,SS,Tranquillizers and Sedatives,3.98, ,1.42,1.96,AMERICAS,CICAD/OAS,Caribbean,2013
Barbados,SS,Tranquillizers and Sedatives,3.02, ,0.88,1.92,AMERICAS,CICAD/OAS,Caribbean,2013
Grenada,SS,Tranquillizers and Sedatives,4, ,1.85,3.01,AMERICAS,CICAD/OAS,Caribbean,2013
Jamaica,SS,Tranquillizers and Sedatives,3.24, ,0.96,1.74,AMERICAS,CICAD/OAS,Caribbean,2013
Saint Kitts and Nevis,SS,Tranquillizers and Sedatives,3.85, ,1.3,2.57,AMERICAS,CICAD/OAS,Caribbean,2013
Saint Lucia,SS,Tranquillizers and Sedatives,4.78, ,2.02,3.09,AMERICAS,CICAD/OAS,Caribbean,2013
Saint Vincent and the Grenadines,SS,Tranquillizers and Sedatives,1.95, ,0.83,1.09,AMERICAS,CICAD/OAS,Caribbean,2013
Trinidad and Tobago,SS,Tranquillizers and Sedatives,2.87, ,0.91,1.52,AMERICAS,CICAD/OAS,Caribbean,2013
Panama,18-25,Tranquillizers and Sedatives,3.2, ,0.3,1.1,AMERICAS,ARQ,Central America (excluding Mexico),2013
Belize,SS,Tranquillizers and Sedatives,4.68, ,1.49,2.72,AMERICAS,CICAD/OAS,Central America (excluding Mexico),2013
Bolivia (Plurinational State of),12 - 17,Tranquillizers and Sedatives,1.4,Benzodiazepines,,,AMERICAS,ARQ,South America,2013
Chile,15 - 16,Tranquillizers and Sedatives,16.39,Benzodiazepines,3.96,9.96,AMERICAS,ARQ,South America,2013
Guyana,SS,Tranquillizers and Sedatives,3.31, ,0.95,1.43,AMERICAS,CICAD/OAS,South America,2013
Haiti,SS,Tranquillizers and Sedatives,11.21, ,4.36,6.46,AMERICAS,CICAD/OAS,Caribbean,2014
Guatemala,11 - 22,Tranquillizers and Sedatives,7, ,1.81,2.79,AMERICAS,ARQ,Central America (excluding Mexico),2014
Honduras,15 - 16,Tranquillizers and Sedatives,14.8,Benzodiazepines,3.2,6,AMERICAS,ARQ,Central America (excluding Mexico),2014
Mexico,15 - 16,Tranquillizers and Sedatives,3.7, ,1.3,2.6,AMERICAS,ARQ,Northern America (including Mexico),2014
United States of America,SS,Tranquillizers and Sedatives,5.3, ,1.5,3.4,AMERICAS,CICAD/OAS,Northern America (including Mexico),2014
Argentina,15 - 16,Tranquillizers and Sedatives,5.2, ,1.5,2.9,AMERICAS,ARQ,South America,2014
Paraguay,12+,Tranquillizers and Sedatives,6.1,Cities with more than 30000,2,3.6,AMERICAS,ARQ,South America,2014
Uruguay,13 - 17,Tranquillizers and Sedatives,6.1, ,,3.1,AMERICAS,ARQ,South America,2014
Uruguay,13 - 17,Tranquillizers and Sedatives,6.1,Hide,,3.1,AMERICAS,ARQ,South America,2014
Venezuela (Bolivarian Republic of),University,Tranquillizers and Sedatives,5.3, ,0.8,2.7,AMERICAS,ARQ,South America,2014
Costa Rica,15 - 16,Tranquillizers and Sedatives,0.09,Benzodiazepines,,0.09,AMERICAS,ARQ,Central America (excluding Mexico),2015
Costa Rica,15-16,Tranquillizers and Sedatives,4.8, ,1.52,2.78,AMERICAS,ARQ,Central America (excluding Mexico),2015
Honduras,14-17,Tranquillizers and Sedatives,8.3, ,1.9,4.2,AMERICAS,ARQ,Central America (excluding Mexico),2015
Chile,(SS) 15 - 16,Tranquillizers and Sedatives,16.9, ,3.66,9.97,AMERICAS,ARQ,South America,2015
Chile,(SS) 15 - 16,Tranquillizers and Sedatives,16.9,Benzodiazepines,3.66,9.97,AMERICAS,ARQ,South America,2015
El Salvador,13 - 17,Tranquillizers and Sedatives,4.8, ,1,1.9,AMERICAS,ARQ,Central America (excluding Mexico),2016
Mexico,12 - 17,Tranquillizers and Sedatives,0.4, ,0,0.3,AMERICAS,ARQ,Northern America (including Mexico),2016
Colombia,18 - 24,Tranquillizers and Sedatives,4.98, ,0.58,1.81,AMERICAS,Government,South America,2016
Jordan,18 - 25,Amphetamines,,Unversity students,,2.6,ASIA,ARQ,Near and Middle East /South-West Asia,2001
Lebanon,15 - 16,Amphetamines,,Rapid Situation Assesment,,0.5,ASIA,ARQ,Near and Middle East /South-West Asia,2001
Thailand,Youth (undefined),Amphetamines,,Methamphetamine; Ages not specified,,2.4,ASIA,ARQ,East and South-East Asia,2003
Myanmar,13 - 21,Amphetamines,0.4,Methamphetamine; Yangon,,0.2,ASIA,ARQ,East and South-East Asia,2004
"China, Taiwan Province of China",(SS) Grades 10 & 12,Amphetamines,0.05,Methamphetamine,,,ASIA,Govt.,East and South-East Asia,2006
Kazakhstan,Youth (undefined),Amphetamines,0.8,Ages not specified,,,ASIA,ARQ,Central Asia and Transcaucasia,2007
Kazakhstan,Youth (undefined),Amphetamines,0.5,Amphetamine; Ages not specified,,,ASIA,ARQ,Central Asia and Transcaucasia,2007
Armenia,15 - 16,Amphetamines,0, ,,,ASIA,ESPAD,Central Asia and Transcaucasia,2007
"China, Hong Kong SAR",11 - 20,Amphetamines,, ,,0.108,ASIA,,East and South-East Asia,2007
Israel,(SS) Grade 10,Amphetamines,,Amphetamine,,2.1,ASIA,ARQ,Near and Middle East /South-West Asia,2009
Israel,(SS) Grade 10,Amphetamines,,Cathinone (hagigat),,6.8,ASIA,ARQ,Near and Middle East /South-West Asia,2009
Israel,12 - 18,Amphetamines,4.38,Amphetamine,2.73,3.27,ASIA,ARQ,Near and Middle East /South-West Asia,2009
Israel,12 - 18,Amphetamines,,Other stimulants,,8.3,ASIA,ARQ,Near and Middle East /South-West Asia,2009
Georgia,(SS) 15 - 16,Amphetamines,1.9,Amphetamine; select regions (capital); Georgian Medical News No3 (180) 2010,,,ASIA,Research,Central Asia and Transcaucasia,2010
Indonesia,10 - 19,Amphetamines,0.25, ,0.11,0.11,ASIA,ARQ,East and South-East Asia,2010
Japan,13 - 15,Amphetamines,0.3, ,,,ASIA,ARQ,East and South-East Asia,2010
Israel,(SS) 15 - 16,Amphetamines,1.9,Methamphetamine,,,ASIA,ARQ,Near and Middle East /South-West Asia,2010
Israel,(SS) 15 - 16,Amphetamines,,Other stimulants,0.9,,ASIA,ARQ,Near and Middle East /South-West Asia,2010
"China, Hong Kong SAR",15 - 16,Amphetamines,,Amphetamine,,0.072,ASIA,ARQ,East and South-East Asia,2011
"China, Hong Kong SAR",15 - 16,Amphetamines,,Methamphetamine,,0.069,ASIA,ARQ,East and South-East Asia,2011
Indonesia,15 - 19,Amphetamines,0.2,Amphetamine,0.1,0.17,ASIA,ARQ,East and South-East Asia,2011
Indonesia,15 - 19,Amphetamines,0.21,Amphetamine,0.35,0.32,ASIA,ARQ,East and South-East Asia,2011
Indonesia,15 - 19,Amphetamines,0.3,Methamphetamine,0.2,0.26,ASIA,ARQ,East and South-East Asia,2011
Indonesia,15 - 19,Amphetamines,0.35,Methamphetamine,0.45,0.45,ASIA,ARQ,East and South-East Asia,2011
Japan,(SS) 15 - 16,Amphetamines,0.2,Methamphetamine,,,ASIA,ARQ,East and South-East Asia,2011
Kazakhstan,16 - 21,Amphetamines,1,Amphetamine,,,ASIA,ARQ,Central Asia and Transcaucasia,2012
Kazakhstan,16 - 21,Amphetamines,0.6,Prescription stimulants,,,ASIA,ARQ,Central Asia and Transcaucasia,2012
Kazakhstan,"16, 19 and 21",Amphetamines,1,Amphetamine . 6 regions and 2 cities,,,ASIA,ARQ,Central Asia and Transcaucasia,2012
Kazakhstan,"16, 19 and 21",Amphetamines,0.6,Prescription stimulants. 6 regions and 2 cities.,,,ASIA,ARQ,Central Asia and Transcaucasia,2012
Japan,(SS) 15 - 16,Amphetamines,0.2,Methamphetamine,,,ASIA,ARQ,East and South-East Asia,2012
"China, Hong Kong SAR",11 - 20,Amphetamines,, ,,0.05,ASIA,ARQ,East and South-East Asia,2013
